site_name,site_id,year,count_type,name_id,penguin_count
Ardley Island,ARDL,2010,nests,adelie,435.0
Ardley Island,ARDL,2011,nests,adelie,408.0
Ardley Island,ARDL,2012,nests,adelie,384.0
Ardley Island,ARDL,2013,nests,adelie,429.0
Ardley Island,ARDL,2014,nests,adelie,386.0
Ardley Island,ARDL,2015,nests,adelie,381.0
Ardley Island,ARDL,2016,nests,adelie,448.0
Ardley Island,ARDL,2017,nests,adelie,350.0
Ardley Island,ARDL,2018,nests,adelie,339.0
Ardley Island,ARDL,2019,nests,adelie,301.5
Ardley Island,ARDL,2020,nests,adelie,250.75
Ardley Island,ARDL,2021,nests,adelie,200.0
Ardley Island,ARDL,2022,nests,adelie,184.0
