site_name,site_id,year,count_type,name_id,penguin_count
Bechervaise Island,BECH,1990,chicks,adelie,1498.0
Bechervaise Island,BECH,1991,chicks,adelie,1304.0
Bechervaise Island,BECH,1992,chicks,adelie,1190.0
Bechervaise Island,BECH,1993,chicks,adelie,1816.0
Bechervaise Island,BECH,1994,chicks,adelie,34.0
Bechervaise Island,BECH,1995,chicks,adelie,727.0
Bechervaise Island,BECH,1996,chicks,adelie,1750.0
Bechervaise Island,BECH,1997,chicks,adelie,1556.0
Bechervaise Island,BECH,1998,chicks,adelie,720.0
Bechervaise Island,BECH,1999,chicks,adelie,990.0
Bechervaise Island,BECH,2000,chicks,adelie,1697.0
Bechervaise Island,BECH,2001,chicks,adelie,2264.0
