site_name,site_id,year,count_type,name_id,penguin_count
Cape Bird Middle,BRDM,1983,nests,adelie,1996.5
Cape Bird Middle,BRDM,1984,nests,adelie,2030.0
Cape Bird Middle,BRDM,1985,nests,adelie,2715.0
Cape Bird Middle,BRDM,1986,nests,adelie,3228.0
Cape Bird Middle,BRDM,1987,nests,adelie,2885.0
Cape Bird Middle,BRDM,1988,nests,adelie,2648.0
Cape Bird Middle,BRDM,1989,nests,adelie,2392.0
Cape Bird Middle,BRDM,1990,nests,adelie,1609.0
Cape Bird Middle,BRDM,1991,nests,adelie,2008.0
Cape Bird Middle,BRDM,1992,nests,adelie,2501.0
Cape Bird Middle,BRDM,1993,nests,adelie,1438.0
Cape Bird Middle,BRDM,1994,nests,adelie,1875.0
Cape Bird Middle,BRDM,1995,nests,adelie,2490.0
Cape Bird Middle,BRDM,1996,nests,adelie,2299.0
Cape Bird Middle,BRDM,1997,nests,adelie,3212.0
Cape Bird Middle,BRDM,1998,nests,adelie,2632.0
Cape Bird Middle,BRDM,1999,nests,adelie,3333.0
Cape Bird Middle,BRDM,2000,nests,adelie,3316.0
Cape Bird Middle,BRDM,2001,nests,adelie,1834.0
Cape Bird Middle,BRDM,2002,nests,adelie,2357.0
Cape Bird Middle,BRDM,2003,nests,adelie,1886.0
Cape Bird Middle,BRDM,2004,nests,adelie,2674.0
Cape Bird Middle,BRDM,2005,nests,adelie,3965.0
Cape Bird Middle,BRDM,2006,nests,adelie,3261.0
Cape Bird Middle,BRDM,2007,nests,adelie,3443.0
Cape Bird Middle,BRDM,2008,nests,adelie,3888.0
Cape Bird Middle,BRDM,2009,nests,adelie,4333.0
Cape Bird Middle,BRDM,2010,nests,adelie,4518.0
Cape Bird Middle,BRDM,2011,nests,adelie,2534.0
Cape Bird Middle,BRDM,2012,nests,adelie,4912.0
Cape Bird Middle,BRDM,2013,nests,adelie,4343.0
Cape Bird Middle,BRDM,2014,nests,adelie,5163.0
Cape Bird Middle,BRDM,2015,nests,adelie,4939.0
Cape Bird Middle,BRDM,2016,nests,adelie,3584.0
Cape Bird Middle,BRDM,2017,nests,adelie,3947.0
Cape Bird Middle,BRDM,2018,nests,adelie,4335.0
