site_name,site_id,year,count_type,name_id,penguin_count
Cape Hallett,CHAL,1981,nests,adelie,33733.0
Cape Hallett,CHAL,1982,nests,adelie,42931.0
Cape Hallett,CHAL,1983,nests,adelie,48415.0
Cape Hallett,CHAL,1984,nests,adelie,60261.0
Cape Hallett,CHAL,1985,nests,adelie,58526.0
Cape Hallett,CHAL,1986,nests,adelie,57601.0
Cape Hallett,CHAL,1987,nests,adelie,64242.0
Cape Hallett,CHAL,1988,nests,adelie,56153.0
Cape Hallett,CHAL,1989,nests,adelie,50757.5
Cape Hallett,CHAL,1990,nests,adelie,45362.0
Cape Hallett,CHAL,1991,nests,adelie,43942.0
Cape Hallett,CHAL,1992,nests,adelie,50502.0
