site_name,site_id,year,count_type,name_id,penguin_count
Cape Crozier (west),CRZW,1985,nests,adelie,140288.0
Cape Crozier (west),CRZW,1986,nests,adelie,151540.0
Cape Crozier (west),CRZW,1987,nests,adelie,144341.0
Cape Crozier (west),CRZW,1988,nests,adelie,113199.0
Cape Crozier (west),CRZW,1989,nests,adelie,116343.0
Cape Crozier (west),CRZW,1990,nests,adelie,93032.0
Cape Crozier (west),CRZW,1991,nests,adelie,100540.0
Cape Crozier (west),CRZW,1992,nests,adelie,114415.0
Cape Crozier (west),CRZW,1993,nests,adelie,101545.0
Cape Crozier (west),CRZW,1994,nests,adelie,105103.0
Cape Crozier (west),CRZW,1995,nests,adelie,98430.0
Cape Crozier (west),CRZW,1996,nests,adelie,99532.0
Cape Crozier (west),CRZW,1997,nests,adelie,132981.0
Cape Crozier (west),CRZW,1998,nests,adelie,107672.0
Cape Crozier (west),CRZW,1999,nests,adelie,139386.0
Cape Crozier (west),CRZW,2000,nests,adelie,99278.0
Cape Crozier (west),CRZW,2001,nests,adelie,59170.0
Cape Crozier (west),CRZW,2002,nests,adelie,147224.0
Cape Crozier (west),CRZW,2003,nests,adelie,91346.0
Cape Crozier (west),CRZW,2004,nests,adelie,157717.0
Cape Crozier (west),CRZW,2005,nests,adelie,170246.0
Cape Crozier (west),CRZW,2006,nests,adelie,184293.0
Cape Crozier (west),CRZW,2007,nests,adelie,176342.0
Cape Crozier (west),CRZW,2008,nests,adelie,172420.0
Cape Crozier (west),CRZW,2009,nests,adelie,250453.0
Cape Crozier (west),CRZW,2010,nests,adelie,245708.0
Cape Crozier (west),CRZW,2011,nests,adelie,248511.0
Cape Crozier (west),CRZW,2012,nests,adelie,242193.0
Cape Crozier (west),CRZW,2013,nests,adelie,250987.0
Cape Crozier (west),CRZW,2014,nests,adelie,250897.0
Cape Crozier (west),CRZW,2015,nests,adelie,272885.0
Cape Crozier (west),CRZW,2016,nests,adelie,251250.0
Cape Crozier (west),CRZW,2017,nests,adelie,258386.0
Cape Crozier (west),CRZW,2018,nests,adelie,282381.0
