site_name,site_id,year,count_type,name_id,penguin_count
Inexpressible Island,INEX,1982,nests,adelie,9217.0
Inexpressible Island,INEX,1983,nests,adelie,17120.0
Inexpressible Island,INEX,1984,nests,adelie,21813.0
Inexpressible Island,INEX,1985,nests,adelie,20893.5
Inexpressible Island,INEX,1986,nests,adelie,19974.0
Inexpressible Island,INEX,1987,nests,adelie,28381.0
Inexpressible Island,INEX,1988,nests,adelie,25954.5
Inexpressible Island,INEX,1989,nests,adelie,23528.0
Inexpressible Island,INEX,1990,nests,adelie,21778.5
Inexpressible Island,INEX,1991,nests,adelie,20029.0
Inexpressible Island,INEX,1992,nests,adelie,20881.0
Inexpressible Island,INEX,1993,nests,adelie,22336.0
