site_name,site_id,year,count_type,name_id,penguin_count
Mame-zima,MAME,1975,adults,adelie,21.0
Mame-zima,MAME,1976,adults,adelie,21.0
Mame-zima,MAME,1977,adults,adelie,21.0
Mame-zima,MAME,1978,adults,adelie,15.0
Mame-zima,MAME,1979,adults,adelie,19.5
Mame-zima,MAME,1980,adults,adelie,24.0
Mame-zima,MAME,1981,adults,adelie,70.0
Mame-zima,MAME,1982,adults,adelie,60.0
Mame-zima,MAME,1983,adults,adelie,53.0
Mame-zima,MAME,1984,adults,adelie,53.0
Mame-zima,MAME,1985,adults,adelie,53.0
Mame-zima,MAME,1986,adults,adelie,68.0
Mame-zima,MAME,1987,adults,adelie,72.0
Mame-zima,MAME,1988,adults,adelie,175.0
Mame-zima,MAME,1989,adults,adelie,123.0
Mame-zima,MAME,1990,adults,adelie,126.0
Mame-zima,MAME,1991,adults,adelie,139.0
Mame-zima,MAME,1992,adults,adelie,180.0
Mame-zima,MAME,1993,adults,adelie,133.0
Mame-zima,MAME,1994,adults,adelie,115.0
Mame-zima,MAME,1995,adults,adelie,106.0
Mame-zima,MAME,1996,adults,adelie,93.0
Mame-zima,MAME,1997,adults,adelie,157.0
Mame-zima,MAME,1998,adults,adelie,184.0
Mame-zima,MAME,1999,adults,adelie,204.0
Mame-zima,MAME,2000,adults,adelie,237.0
Mame-zima,MAME,2001,adults,adelie,220.0
Mame-zima,MAME,2002,adults,adelie,361.0
Mame-zima,MAME,2003,adults,adelie,473.0
Mame-zima,MAME,2004,adults,adelie,621.0
