site_name,site_id,year,count_type,name_id,penguin_count
Mizukuguri Cove,MIZU,1981,adults,adelie,134.0
Mizukuguri Cove,MIZU,1982,adults,adelie,200.0
Mizukuguri Cove,MIZU,1983,adults,adelie,188.5
Mizukuguri Cove,MIZU,1984,adults,adelie,177.0
Mizukuguri Cove,MIZU,1985,adults,adelie,178.0
Mizukuguri Cove,MIZU,1986,adults,adelie,320.0
Mizukuguri Cove,MIZU,1987,adults,adelie,436.5
Mizukuguri Cove,MIZU,1988,adults,adelie,553.0
Mizukuguri Cove,MIZU,1989,adults,adelie,406.0
Mizukuguri Cove,MIZU,1990,adults,adelie,434.0
Mizukuguri Cove,MIZU,1991,adults,adelie,318.0
Mizukuguri Cove,MIZU,1992,adults,adelie,413.0
Mizukuguri Cove,MIZU,1993,adults,adelie,366.0
Mizukuguri Cove,MIZU,1994,adults,adelie,349.0
Mizukuguri Cove,MIZU,1995,adults,adelie,421.0
Mizukuguri Cove,MIZU,1996,adults,adelie,445.0
Mizukuguri Cove,MIZU,1997,adults,adelie,464.0
Mizukuguri Cove,MIZU,1998,adults,adelie,490.0
Mizukuguri Cove,MIZU,1999,adults,adelie,698.0
Mizukuguri Cove,MIZU,2000,adults,adelie,625.0
Mizukuguri Cove,MIZU,2001,adults,adelie,575.0
Mizukuguri Cove,MIZU,2002,adults,adelie,743.0
Mizukuguri Cove,MIZU,2003,adults,adelie,681.0
Mizukuguri Cove,MIZU,2004,adults,adelie,1144.0
