site_name,site_id,year,count_type,name_id,penguin_count
Port Charcot,PCHA,2006,nests,adelie,17.0
Port Charcot,PCHA,2007,nests,adelie,10.0
Port Charcot,PCHA,2008,nests,adelie,11.0
Port Charcot,PCHA,2009,nests,adelie,14.0
Port Charcot,PCHA,2010,nests,adelie,11.0
Port Charcot,PCHA,2011,nests,adelie,9.5
Port Charcot,PCHA,2012,nests,adelie,15.0
Port Charcot,PCHA,2013,nests,adelie,10.333333333333334
Port Charcot,PCHA,2014,nests,adelie,7.0
Port Charcot,PCHA,2015,nests,adelie,7.5
Port Charcot,PCHA,2016,nests,adelie,8.0
Port Charcot,PCHA,2017,nests,adelie,9.0
Port Charcot,PCHA,2018,nests,adelie,10.0
Port Charcot,PCHA,2019,nests,adelie,4.0
