site_name,site_id,year,count_type,name_id,penguin_count
Petermann Island,PETE,2001,nests,adelie,926.0
Petermann Island,PETE,2002,nests,adelie,485.0
Petermann Island,PETE,2003,nests,adelie,553.0
Petermann Island,PETE,2004,nests,adelie,532.0
Petermann Island,PETE,2005,nests,adelie,479.0
Petermann Island,PETE,2006,nests,adelie,410.0
Petermann Island,PETE,2007,nests,adelie,390.0
Petermann Island,PETE,2008,nests,adelie,348.0
Petermann Island,PETE,2009,nests,adelie,341.5
Petermann Island,PETE,2010,nests,adelie,253.0
Petermann Island,PETE,2011,nests,adelie,274.5
Petermann Island,PETE,2012,nests,adelie,296.0
Petermann Island,PETE,2013,nests,adelie,284.3333333333333
Petermann Island,PETE,2014,nests,adelie,285.66666666666663
Petermann Island,PETE,2015,nests,adelie,287.0
