site_name,site_id,year,count_type,name_id,penguin_count
Point Geologie,PGEO,1988,nests,adelie,26140.0
Point Geologie,PGEO,1989,nests,adelie,30369.0
Point Geologie,PGEO,1990,nests,adelie,19405.0
Point Geologie,PGEO,1991,nests,adelie,23984.0
Point Geologie,PGEO,1992,nests,adelie,28395.5
Point Geologie,PGEO,1993,nests,adelie,32807.0
Point Geologie,PGEO,1994,nests,adelie,32666.0
Point Geologie,PGEO,1995,nests,adelie,41217.0
Point Geologie,PGEO,1996,nests,adelie,34268.0
Point Geologie,PGEO,1997,nests,adelie,41817.0
Point Geologie,PGEO,1998,nests,adelie,42971.0
Point Geologie,PGEO,1999,nests,adelie,37938.0
Point Geologie,PGEO,2000,nests,adelie,29819.0
Point Geologie,PGEO,2001,nests,adelie,30749.0
Point Geologie,PGEO,2002,nests,adelie,31892.0
Point Geologie,PGEO,2003,nests,adelie,29943.0
Point Geologie,PGEO,2004,nests,adelie,35401.0
Point Geologie,PGEO,2005,nests,adelie,36629.0
Point Geologie,PGEO,2006,nests,adelie,24958.0
Point Geologie,PGEO,2007,nests,adelie,34674.0
Point Geologie,PGEO,2008,nests,adelie,40741.0
Point Geologie,PGEO,2009,nests,adelie,40574.0
Point Geologie,PGEO,2010,nests,adelie,32746.0
Point Geologie,PGEO,2011,nests,adelie,34990.0
Point Geologie,PGEO,2012,nests,adelie,54431.0
Point Geologie,PGEO,2013,nests,adelie,52183.0
Point Geologie,PGEO,2014,nests,adelie,42757.0
Point Geologie,PGEO,2015,nests,adelie,46469.0
Point Geologie,PGEO,2016,nests,adelie,47873.0
Point Geologie,PGEO,2017,nests,adelie,47058.0
