site_name,site_id,year,count_type,name_id,penguin_count
Pleneau Island,PLEN,1996,nests,adelie,0.0
Pleneau Island,PLEN,1997,nests,adelie,0.0
Pleneau Island,PLEN,1998,nests,adelie,0.0
Pleneau Island,PLEN,1999,nests,adelie,0.0
Pleneau Island,PLEN,2000,nests,adelie,0.0
Pleneau Island,PLEN,2001,nests,adelie,0.0
Pleneau Island,PLEN,2002,nests,adelie,0.0
Pleneau Island,PLEN,2003,nests,adelie,0.0
Pleneau Island,PLEN,2004,nests,adelie,0.0
Pleneau Island,PLEN,2005,nests,adelie,0.0
Pleneau Island,PLEN,2006,nests,adelie,0.0
Pleneau Island,PLEN,2007,nests,adelie,0.0
Pleneau Island,PLEN,2008,nests,adelie,0.0
Pleneau Island,PLEN,2009,nests,adelie,0.0
Pleneau Island,PLEN,2010,nests,adelie,0.0
Pleneau Island,PLEN,2011,nests,adelie,0.0
Pleneau Island,PLEN,2012,nests,adelie,0.0
Pleneau Island,PLEN,2013,nests,adelie,0.0
Pleneau Island,PLEN,2014,nests,adelie,0.0
Pleneau Island,PLEN,2015,nests,adelie,0.0
Pleneau Island,PLEN,2016,nests,adelie,0.0
Pleneau Island,PLEN,2017,nests,adelie,0.5
Pleneau Island,PLEN,2018,nests,adelie,1.0
