site_name,site_id,year,count_type,name_id,penguin_count
Cape Royds,ROYD,1983,nests,adelie,2591.5
Cape Royds,ROYD,1984,nests,adelie,2688.0
Cape Royds,ROYD,1985,nests,adelie,3214.0
Cape Royds,ROYD,1986,nests,adelie,3506.0
Cape Royds,ROYD,1987,nests,adelie,3950.5
Cape Royds,ROYD,1988,nests,adelie,3604.0
Cape Royds,ROYD,1989,nests,adelie,2914.0
Cape Royds,ROYD,1990,nests,adelie,2651.0
Cape Royds,ROYD,1991,nests,adelie,3101.0
Cape Royds,ROYD,1992,nests,adelie,3627.0
Cape Royds,ROYD,1993,nests,adelie,3406.0
Cape Royds,ROYD,1994,nests,adelie,3517.5
Cape Royds,ROYD,1995,nests,adelie,3923.5
Cape Royds,ROYD,1996,nests,adelie,3378.0
Cape Royds,ROYD,1997,nests,adelie,3933.0
Cape Royds,ROYD,1998,nests,adelie,3411.0
Cape Royds,ROYD,1999,nests,adelie,3620.0
Cape Royds,ROYD,2000,nests,adelie,2363.0
Cape Royds,ROYD,2001,nests,adelie,1367.0
Cape Royds,ROYD,2002,nests,adelie,2239.0
Cape Royds,ROYD,2003,nests,adelie,1963.0
Cape Royds,ROYD,2004,nests,adelie,2036.0
Cape Royds,ROYD,2005,nests,adelie,2459.0
Cape Royds,ROYD,2006,nests,adelie,2607.0
Cape Royds,ROYD,2007,nests,adelie,2654.0
Cape Royds,ROYD,2008,nests,adelie,1805.0
Cape Royds,ROYD,2009,nests,adelie,2609.0
Cape Royds,ROYD,2010,nests,adelie,2513.0
Cape Royds,ROYD,2011,nests,adelie,2887.0
Cape Royds,ROYD,2012,nests,adelie,3083.0
Cape Royds,ROYD,2013,nests,adelie,2944.0
Cape Royds,ROYD,2014,nests,adelie,3187.0
Cape Royds,ROYD,2015,nests,adelie,3097.0
Cape Royds,ROYD,2016,nests,adelie,1746.0
Cape Royds,ROYD,2017,nests,adelie,2629.0
Cape Royds,ROYD,2018,nests,adelie,3103.0
