site_name,site_id,year,count_type,name_id,penguin_count
Rumpa Island,RUMP,1980,adults,adelie,473.0
Rumpa Island,RUMP,1981,adults,adelie,1145.0
Rumpa Island,RUMP,1982,adults,adelie,1534.0
Rumpa Island,RUMP,1983,adults,adelie,1200.0
Rumpa Island,RUMP,1984,adults,adelie,1550.0
Rumpa Island,RUMP,1985,adults,adelie,1224.0
Rumpa Island,RUMP,1986,adults,adelie,1450.0
Rumpa Island,RUMP,1987,adults,adelie,1537.0
Rumpa Island,RUMP,1988,adults,adelie,2270.0
Rumpa Island,RUMP,1989,adults,adelie,1338.0
Rumpa Island,RUMP,1990,adults,adelie,1893.0
Rumpa Island,RUMP,1991,adults,adelie,1498.0
Rumpa Island,RUMP,1992,adults,adelie,1485.0
Rumpa Island,RUMP,1993,adults,adelie,1760.0
Rumpa Island,RUMP,1994,adults,adelie,1380.0
Rumpa Island,RUMP,1995,adults,adelie,1466.0
Rumpa Island,RUMP,1996,adults,adelie,1695.0
Rumpa Island,RUMP,1997,adults,adelie,1433.0
Rumpa Island,RUMP,1998,adults,adelie,2288.0
Rumpa Island,RUMP,1999,adults,adelie,2549.0
Rumpa Island,RUMP,2000,adults,adelie,2006.0
Rumpa Island,RUMP,2001,adults,adelie,1882.0
Rumpa Island,RUMP,2002,adults,adelie,3111.0
Rumpa Island,RUMP,2003,adults,adelie,3080.0
Rumpa Island,RUMP,2004,adults,adelie,3515.0
