site_name,site_id,year,count_type,name_id,penguin_count
Torinosu Cove,TORI,1993,adults,adelie,161.0
Torinosu Cove,TORI,1994,adults,adelie,114.0
Torinosu Cove,TORI,1995,adults,adelie,139.0
Torinosu Cove,TORI,1996,adults,adelie,129.0
Torinosu Cove,TORI,1997,adults,adelie,119.0
Torinosu Cove,TORI,1998,adults,adelie,99.0
Torinosu Cove,TORI,1999,adults,adelie,116.0
Torinosu Cove,TORI,2000,adults,adelie,114.0
Torinosu Cove,TORI,2001,adults,adelie,93.0
Torinosu Cove,TORI,2002,adults,adelie,100.0
Torinosu Cove,TORI,2003,adults,adelie,66.0
Torinosu Cove,TORI,2004,adults,adelie,45.0
