site_name,site_id,year,count_type,name_id,penguin_count
Barton Peninsula,BART,2006,nests,chinstrap,2961.0
Barton Peninsula,BART,2007,nests,chinstrap,2747.0
Barton Peninsula,BART,2008,nests,chinstrap,2632.0
Barton Peninsula,BART,2009,nests,chinstrap,2572.0
Barton Peninsula,BART,2010,nests,chinstrap,2612.0
Barton Peninsula,BART,2011,nests,chinstrap,3161.0
Barton Peninsula,BART,2012,nests,chinstrap,3332.0
Barton Peninsula,BART,2013,nests,chinstrap,3157.0
Barton Peninsula,BART,2014,nests,chinstrap,3041.0
Barton Peninsula,BART,2015,nests,chinstrap,2850.0
Barton Peninsula,BART,2016,nests,chinstrap,2918.0
Barton Peninsula,BART,2017,nests,chinstrap,2867.0
Barton Peninsula,BART,2018,nests,chinstrap,2388.0
Barton Peninsula,BART,2019,nests,chinstrap,2353.0
