site_name,site_id,year,count_type,name_id,penguin_count
Demay Point,DEMA,1985,nests,chinstrap,680.0
Demay Point,DEMA,1986,nests,chinstrap,591.0
Demay Point,DEMA,1987,nests,chinstrap,502.0
Demay Point,DEMA,1988,nests,chinstrap,423.5
Demay Point,DEMA,1989,nests,chinstrap,301.5
Demay Point,DEMA,1990,nests,chinstrap,324.5
Demay Point,DEMA,1991,nests,chinstrap,350.0
Demay Point,DEMA,1992,nests,chinstrap,342.0
Demay Point,DEMA,1993,nests,chinstrap,298.0
Demay Point,DEMA,1994,nests,chinstrap,241.5
Demay Point,DEMA,1995,nests,chinstrap,237.0
Demay Point,DEMA,1996,nests,chinstrap,217.0
Demay Point,DEMA,1997,nests,chinstrap,167.0
Demay Point,DEMA,1998,nests,chinstrap,203.0
Demay Point,DEMA,1999,nests,chinstrap,137.0
Demay Point,DEMA,2000,nests,chinstrap,150.0
Demay Point,DEMA,2001,nests,chinstrap,112.0
Demay Point,DEMA,2002,nests,chinstrap,103.0
Demay Point,DEMA,2003,nests,chinstrap,80.0
Demay Point,DEMA,2004,nests,chinstrap,82.0
Demay Point,DEMA,2005,nests,chinstrap,77.0
Demay Point,DEMA,2006,nests,chinstrap,78.0
Demay Point,DEMA,2007,nests,chinstrap,71.0
Demay Point,DEMA,2008,nests,chinstrap,68.0
Demay Point,DEMA,2009,nests,chinstrap,37.0
Demay Point,DEMA,2010,nests,chinstrap,58.0
Demay Point,DEMA,2011,nests,chinstrap,58.0
Demay Point,DEMA,2012,nests,chinstrap,54.0
