site_name,site_id,year,count_type,name_id,penguin_count
Entrance Point,ENTR,2011,nests,chinstrap,551.0
Entrance Point,ENTR,2012,nests,chinstrap,696.0
Entrance Point,ENTR,2013,nests,chinstrap,726.0
Entrance Point,ENTR,2014,nests,chinstrap,594.0
Entrance Point,ENTR,2015,nests,chinstrap,790.0
Entrance Point,ENTR,2016,nests,chinstrap,986.0
Entrance Point,ENTR,2017,nests,chinstrap,925.5
Entrance Point,ENTR,2018,nests,chinstrap,865.0
Entrance Point,ENTR,2019,nests,chinstrap,853.0
Entrance Point,ENTR,2020,nests,chinstrap,825.0
Entrance Point,ENTR,2021,nests,chinstrap,797.0
