site_name,site_id,year,count_type,name_id,penguin_count
Georges Point (Ronge Island),GEOR,2004,nests,chinstrap,269.0
Georges Point (Ronge Island),GEOR,2005,nests,chinstrap,246.0
Georges Point (Ronge Island),GEOR,2006,nests,chinstrap,260.0
Georges Point (Ronge Island),GEOR,2007,nests,chinstrap,247.25
Georges Point (Ronge Island),GEOR,2008,nests,chinstrap,234.5
Georges Point (Ronge Island),GEOR,2009,nests,chinstrap,225.0
Georges Point (Ronge Island),GEOR,2010,nests,chinstrap,185.5
Georges Point (Ronge Island),GEOR,2011,nests,chinstrap,193.0
Georges Point (Ronge Island),GEOR,2012,nests,chinstrap,205.16666666666669
Georges Point (Ronge Island),GEOR,2013,nests,chinstrap,217.33333333333334
Georges Point (Ronge Island),GEOR,2014,nests,chinstrap,232.0
Georges Point (Ronge Island),GEOR,2015,nests,chinstrap,206.0
Georges Point (Ronge Island),GEOR,2016,nests,chinstrap,188.0
Georges Point (Ronge Island),GEOR,2017,nests,chinstrap,161.0
Georges Point (Ronge Island),GEOR,2018,nests,chinstrap,153.25
Georges Point (Ronge Island),GEOR,2019,nests,chinstrap,145.5
