site_name,site_id,year,count_type,name_id,penguin_count
Llano Point,LLAN,1977,nests,chinstrap,286.0
Llano Point,LLAN,1978,nests,chinstrap,300.0
Llano Point,LLAN,1979,nests,chinstrap,314.0
Llano Point,LLAN,1980,nests,chinstrap,349.0
Llano Point,LLAN,1981,nests,chinstrap,240.0
Llano Point,LLAN,1982,nests,chinstrap,240.0
Llano Point,LLAN,1983,nests,chinstrap,249.5
Llano Point,LLAN,1984,nests,chinstrap,259.0
Llano Point,LLAN,1985,nests,chinstrap,268.5
Llano Point,LLAN,1986,nests,chinstrap,199.5
Llano Point,LLAN,1987,nests,chinstrap,209.0
Llano Point,LLAN,1988,nests,chinstrap,112.5
Llano Point,LLAN,1989,nests,chinstrap,91.0
Llano Point,LLAN,1990,nests,chinstrap,36.5
Llano Point,LLAN,1991,nests,chinstrap,14.0
Llano Point,LLAN,1992,nests,chinstrap,19.0
Llano Point,LLAN,1993,nests,chinstrap,7.0
Llano Point,LLAN,1994,nests,chinstrap,4.0
Llano Point,LLAN,1995,nests,chinstrap,3.0
Llano Point,LLAN,1996,nests,chinstrap,2.0
Llano Point,LLAN,1997,nests,chinstrap,0.0
Llano Point,LLAN,1998,nests,chinstrap,0.0
Llano Point,LLAN,1999,nests,chinstrap,0.0
Llano Point,LLAN,2000,nests,chinstrap,0.0
Llano Point,LLAN,2001,nests,chinstrap,0.0
Llano Point,LLAN,2002,nests,chinstrap,0.0
Llano Point,LLAN,2003,nests,chinstrap,0.0
Llano Point,LLAN,2004,nests,chinstrap,0.0
Llano Point,LLAN,2005,nests,chinstrap,0.0
Llano Point,LLAN,2006,nests,chinstrap,0.0
Llano Point,LLAN,2007,nests,chinstrap,4.0
Llano Point,LLAN,2008,nests,chinstrap,0.0
Llano Point,LLAN,2009,nests,chinstrap,0.0
Llano Point,LLAN,2010,nests,chinstrap,0.0
Llano Point,LLAN,2011,nests,chinstrap,0.0
Llano Point,LLAN,2012,nests,chinstrap,8.0
