site_name,site_id,year,count_type,name_id,penguin_count
Patelnia Point,PAPT,1988,nests,chinstrap,1645.0
Patelnia Point,PAPT,1989,nests,chinstrap,1563.0
Patelnia Point,PAPT,1990,nests,chinstrap,1636.0
Patelnia Point,PAPT,1991,nests,chinstrap,1621.0
Patelnia Point,PAPT,1992,nests,chinstrap,1737.0
Patelnia Point,PAPT,1993,nests,chinstrap,1546.0
Patelnia Point,PAPT,1994,nests,chinstrap,1444.5
Patelnia Point,PAPT,1995,nests,chinstrap,1490.5
Patelnia Point,PAPT,1996,nests,chinstrap,1343.0
Patelnia Point,PAPT,1997,nests,chinstrap,1239.0
Patelnia Point,PAPT,1998,nests,chinstrap,1353.0
Patelnia Point,PAPT,1999,nests,chinstrap,1038.0
Patelnia Point,PAPT,2000,nests,chinstrap,1209.0
Patelnia Point,PAPT,2001,nests,chinstrap,992.0
Patelnia Point,PAPT,2002,nests,chinstrap,1063.0
Patelnia Point,PAPT,2003,nests,chinstrap,923.0
Patelnia Point,PAPT,2004,nests,chinstrap,894.0
Patelnia Point,PAPT,2005,nests,chinstrap,804.0
Patelnia Point,PAPT,2006,nests,chinstrap,677.0
Patelnia Point,PAPT,2007,nests,chinstrap,696.0
Patelnia Point,PAPT,2008,nests,chinstrap,699.0
Patelnia Point,PAPT,2009,nests,chinstrap,515.0
Patelnia Point,PAPT,2010,nests,chinstrap,643.0
Patelnia Point,PAPT,2011,nests,chinstrap,632.0
Patelnia Point,PAPT,2012,nests,chinstrap,624.0
