site_name,site_id,year,count_type,name_id,penguin_count
Port Charcot,PCHA,2006,nests,chinstrap,9.0
Port Charcot,PCHA,2007,nests,chinstrap,11.0
Port Charcot,PCHA,2008,nests,chinstrap,17.0
Port Charcot,PCHA,2009,nests,chinstrap,17.75
Port Charcot,PCHA,2010,nests,chinstrap,19.333333333333332
Port Charcot,PCHA,2011,nests,chinstrap,19.5
Port Charcot,PCHA,2012,nests,chinstrap,22.0
Port Charcot,PCHA,2013,nests,chinstrap,15.333333333333334
Port Charcot,PCHA,2014,nests,chinstrap,19.5
Port Charcot,PCHA,2015,nests,chinstrap,17.75
Port Charcot,PCHA,2016,nests,chinstrap,16.0
Port Charcot,PCHA,2017,nests,chinstrap,17.0
Port Charcot,PCHA,2018,nests,chinstrap,18.0
Port Charcot,PCHA,2019,nests,chinstrap,11.0
Port Charcot,PCHA,2020,nests,chinstrap,18.0
