site_name,site_id,year,count_type,name_id,penguin_count
Petermann Island,PETE,2004,nests,chinstrap,0.0
Petermann Island,PETE,2005,nests,chinstrap,0.0
Petermann Island,PETE,2006,nests,chinstrap,0.0
Petermann Island,PETE,2007,nests,chinstrap,0.0
Petermann Island,PETE,2008,nests,chinstrap,0.0
Petermann Island,PETE,2009,nests,chinstrap,0.0
Petermann Island,PETE,2010,nests,chinstrap,0.5
Petermann Island,PETE,2011,nests,chinstrap,1.0
Petermann Island,PETE,2012,nests,chinstrap,0.5
Petermann Island,PETE,2013,nests,chinstrap,0.0
Petermann Island,PETE,2014,nests,chinstrap,0.0
Petermann Island,PETE,2015,nests,chinstrap,0.0
