site_name,site_id,year,count_type,name_id,penguin_count
Selvick Cove,SELV,2007,nests,chinstrap,133.0
Selvick Cove,SELV,2008,nests,chinstrap,139.5
Selvick Cove,SELV,2009,nests,chinstrap,146.0
Selvick Cove,SELV,2010,nests,chinstrap,164.5
Selvick Cove,SELV,2011,nests,chinstrap,183.0
Selvick Cove,SELV,2012,nests,chinstrap,138.5
Selvick Cove,SELV,2013,nests,chinstrap,103.0
Selvick Cove,SELV,2014,nests,chinstrap,164.5
Selvick Cove,SELV,2015,nests,chinstrap,103.0
Selvick Cove,SELV,2016,nests,chinstrap,70.0
Selvick Cove,SELV,2017,nests,chinstrap,60.0
Selvick Cove,SELV,2018,nests,chinstrap,59.5
Selvick Cove,SELV,2019,nests,chinstrap,57.0
