site_name,site_id,year,count_type,name_id,penguin_count
Cape Shirreff,SHIR,1997,nests,chinstrap,7380.333333333333
Cape Shirreff,SHIR,1998,nests,chinstrap,7581.0
Cape Shirreff,SHIR,1999,nests,chinstrap,7744.0
Cape Shirreff,SHIR,2000,nests,chinstrap,7212.0
Cape Shirreff,SHIR,2001,nests,chinstrap,6606.0
Cape Shirreff,SHIR,2002,nests,chinstrap,5838.5
Cape Shirreff,SHIR,2003,nests,chinstrap,5635.5
Cape Shirreff,SHIR,2004,nests,chinstrap,4907.0
Cape Shirreff,SHIR,2005,nests,chinstrap,4848.0
Cape Shirreff,SHIR,2006,nests,chinstrap,4543.5
Cape Shirreff,SHIR,2007,nests,chinstrap,3032.0
Cape Shirreff,SHIR,2008,nests,chinstrap,4026.0
Cape Shirreff,SHIR,2009,nests,chinstrap,4339.0
Cape Shirreff,SHIR,2010,nests,chinstrap,4127.0
Cape Shirreff,SHIR,2011,nests,chinstrap,4100.0
Cape Shirreff,SHIR,2012,nests,chinstrap,4200.0
Cape Shirreff,SHIR,2013,nests,chinstrap,3582.0
Cape Shirreff,SHIR,2014,nests,chinstrap,3516.5
Cape Shirreff,SHIR,2015,nests,chinstrap,3325.0
Cape Shirreff,SHIR,2016,nests,chinstrap,3060.0
Cape Shirreff,SHIR,2017,nests,chinstrap,2449.0
Cape Shirreff,SHIR,2018,nests,chinstrap,2095.0
Cape Shirreff,SHIR,2019,nests,chinstrap,2170.0
