site_name,site_id,year,count_type,name_id,penguin_count
Spigot Peak Tripod,SPTR,2007,nests,chinstrap,76.0
Spigot Peak Tripod,SPTR,2008,nests,chinstrap,44.5
Spigot Peak Tripod,SPTR,2009,nests,chinstrap,13.0
Spigot Peak Tripod,SPTR,2010,nests,chinstrap,27.0
Spigot Peak Tripod,SPTR,2011,nests,chinstrap,41.0
Spigot Peak Tripod,SPTR,2012,nests,chinstrap,20.0
Spigot Peak Tripod,SPTR,2013,nests,chinstrap,80.0
Spigot Peak Tripod,SPTR,2014,nests,chinstrap,113.0
Spigot Peak Tripod,SPTR,2015,nests,chinstrap,142.33333333333334
Spigot Peak Tripod,SPTR,2016,nests,chinstrap,147.0
Spigot Peak Tripod,SPTR,2017,nests,chinstrap,125.0
Spigot Peak Tripod,SPTR,2018,nests,chinstrap,95.0
Spigot Peak Tripod,SPTR,2019,nests,chinstrap,54.0
