site_name,site_id,year,count_type,name_id,penguin_count
Turret Point (King George Island),TURR,2007,nests,chinstrap,89.0
Turret Point (King George Island),TURR,2008,nests,chinstrap,80.0
Turret Point (King George Island),TURR,2009,nests,chinstrap,71.0
Turret Point (King George Island),TURR,2010,nests,chinstrap,62.0
Turret Point (King George Island),TURR,2011,nests,chinstrap,54.0
Turret Point (King George Island),TURR,2012,nests,chinstrap,46.0
Turret Point (King George Island),TURR,2013,nests,chinstrap,34.0
Turret Point (King George Island),TURR,2014,nests,chinstrap,22.0
Turret Point (King George Island),TURR,2015,nests,chinstrap,18.0
Turret Point (King George Island),TURR,2016,nests,chinstrap,18.5
Turret Point (King George Island),TURR,2017,nests,chinstrap,9.75
Turret Point (King George Island),TURR,2018,nests,chinstrap,1.0
