site_name,site_id,year,count_type,name_id,penguin_count
Beaufort Island North,BEAN,2000,adults,emperor,839.0
Beaufort Island North,BEAN,2001,adults,emperor,1630.0
Beaufort Island North,BEAN,2002,adults,emperor,1805.0
Beaufort Island North,BEAN,2003,adults,emperor,883.0
Beaufort Island North,BEAN,2004,adults,emperor,882.0
Beaufort Island North,BEAN,2005,adults,emperor,1222.0
Beaufort Island North,BEAN,2006,adults,emperor,1312.0
Beaufort Island North,BEAN,2007,adults,emperor,912.0
Beaufort Island North,BEAN,2008,adults,emperor,1109.0
Beaufort Island North,BEAN,2009,adults,emperor,1641.0
Beaufort Island North,BEAN,2010,adults,emperor,2123.0
Beaufort Island North,BEAN,2011,adults,emperor,667.0
Beaufort Island North,BEAN,2012,adults,emperor,812.0
