site_name,site_id,year,count_type,name_id,penguin_count
Cape Crozier,CROZ,2001,adults,emperor,0.0
Cape Crozier,CROZ,2002,adults,emperor,166.5
Cape Crozier,CROZ,2003,adults,emperor,333.0
Cape Crozier,CROZ,2004,adults,emperor,224.0
Cape Crozier,CROZ,2005,adults,emperor,437.0
Cape Crozier,CROZ,2006,adults,emperor,469.0
Cape Crozier,CROZ,2007,adults,emperor,537.0
Cape Crozier,CROZ,2008,adults,emperor,623.0
Cape Crozier,CROZ,2009,adults,emperor,303.0
Cape Crozier,CROZ,2010,adults,emperor,856.0
Cape Crozier,CROZ,2011,adults,emperor,878.0
Cape Crozier,CROZ,2012,adults,emperor,1189.0
