site_name,site_id,year,count_type,name_id,penguin_count
Cape Crozier,CROZ,2000,chicks,emperor,1201.0
Cape Crozier,CROZ,2001,chicks,emperor,0.0
Cape Crozier,CROZ,2002,chicks,emperor,247.0
Cape Crozier,CROZ,2003,chicks,emperor,279.0
Cape Crozier,CROZ,2004,chicks,emperor,475.0
Cape Crozier,CROZ,2005,chicks,emperor,0.0
Cape Crozier,CROZ,2006,chicks,emperor,359.0
Cape Crozier,CROZ,2007,chicks,emperor,612.0
Cape Crozier,CROZ,2008,chicks,emperor,367.0
Cape Crozier,CROZ,2009,chicks,emperor,397.0
Cape Crozier,CROZ,2010,chicks,emperor,427.0
Cape Crozier,CROZ,2011,chicks,emperor,709.0
Cape Crozier,CROZ,2012,chicks,emperor,1080.0
