site_name,site_id,year,count_type,name_id,penguin_count
Franklin Island,FRAN,2001,adults,emperor,2304.0
Franklin Island,FRAN,2002,adults,emperor,2064.0
Franklin Island,FRAN,2003,adults,emperor,1824.0
Franklin Island,FRAN,2004,adults,emperor,5089.0
Franklin Island,FRAN,2005,adults,emperor,2460.0
Franklin Island,FRAN,2006,adults,emperor,6768.0
Franklin Island,FRAN,2007,adults,emperor,4315.0
Franklin Island,FRAN,2008,adults,emperor,2103.0
Franklin Island,FRAN,2009,adults,emperor,7561.0
Franklin Island,FRAN,2010,adults,emperor,5108.0
Franklin Island,FRAN,2011,adults,emperor,5609.0
Franklin Island,FRAN,2012,adults,emperor,7073.0
