site_name,site_id,year,count_type,name_id,penguin_count
Franklin Island,FRAN,2000,chicks,emperor,2915.0
Franklin Island,FRAN,2001,chicks,emperor,1496.0
Franklin Island,FRAN,2002,chicks,emperor,2047.0
Franklin Island,FRAN,2003,chicks,emperor,2598.0
Franklin Island,FRAN,2004,chicks,emperor,5145.0
Franklin Island,FRAN,2005,chicks,emperor,1966.0
Franklin Island,FRAN,2006,chicks,emperor,10769.0
Franklin Island,FRAN,2007,chicks,emperor,5005.0
Franklin Island,FRAN,2008,chicks,emperor,5079.0
Franklin Island,FRAN,2009,chicks,emperor,3777.0
Franklin Island,FRAN,2010,chicks,emperor,2475.0
Franklin Island,FRAN,2011,chicks,emperor,3804.0
Franklin Island,FRAN,2012,chicks,emperor,3171.0
