site_name,site_id,year,count_type,name_id,penguin_count
Point Geologie,PGEO,1979,nests,emperor,3465.0
Point Geologie,PGEO,1980,nests,emperor,3350.0
Point Geologie,PGEO,1981,nests,emperor,2760.0
Point Geologie,PGEO,1982,nests,emperor,2800.0
Point Geologie,PGEO,1983,nests,emperor,3119.0
Point Geologie,PGEO,1984,nests,emperor,3270.0
Point Geologie,PGEO,1985,nests,emperor,2520.0
Point Geologie,PGEO,1986,nests,emperor,2303.0
Point Geologie,PGEO,1987,nests,emperor,3290.0
Point Geologie,PGEO,1988,nests,emperor,2963.0
Point Geologie,PGEO,1989,nests,emperor,2593.0
Point Geologie,PGEO,1990,nests,emperor,2671.0
Point Geologie,PGEO,1991,nests,emperor,3012.0
Point Geologie,PGEO,1992,nests,emperor,2540.0
Point Geologie,PGEO,1993,nests,emperor,3338.0
Point Geologie,PGEO,1994,nests,emperor,3282.0
Point Geologie,PGEO,1995,nests,emperor,2461.0
Point Geologie,PGEO,1996,nests,emperor,2906.0
Point Geologie,PGEO,1997,nests,emperor,2740.0
Point Geologie,PGEO,1998,nests,emperor,3216.0
Point Geologie,PGEO,1999,nests,emperor,2786.0
Point Geologie,PGEO,2000,nests,emperor,2713.0
Point Geologie,PGEO,2001,nests,emperor,2511.0
Point Geologie,PGEO,2002,nests,emperor,2941.0
Point Geologie,PGEO,2003,nests,emperor,2835.0
Point Geologie,PGEO,2004,nests,emperor,3173.0
Point Geologie,PGEO,2005,nests,emperor,3350.0
Point Geologie,PGEO,2006,nests,emperor,3482.0
Point Geologie,PGEO,2007,nests,emperor,3373.0
Point Geologie,PGEO,2008,nests,emperor,3259.0
Point Geologie,PGEO,2009,nests,emperor,3033.0
Point Geologie,PGEO,2010,nests,emperor,3102.0
Point Geologie,PGEO,2011,nests,emperor,3253.0
Point Geologie,PGEO,2012,nests,emperor,3100.0
Point Geologie,PGEO,2013,nests,emperor,3794.0
Point Geologie,PGEO,2014,nests,emperor,3376.0
Point Geologie,PGEO,2015,nests,emperor,4494.0
Point Geologie,PGEO,2016,nests,emperor,3762.0
Point Geologie,PGEO,2017,nests,emperor,3396.0
