site_name,site_id,year,count_type,name_id,penguin_count
Cape Washington,WASH,2000,chicks,emperor,17397.0
Cape Washington,WASH,2001,chicks,emperor,18734.0
Cape Washington,WASH,2002,chicks,emperor,11093.0
Cape Washington,WASH,2003,chicks,emperor,13163.0
Cape Washington,WASH,2004,chicks,emperor,16700.0
Cape Washington,WASH,2005,chicks,emperor,23021.0
Cape Washington,WASH,2006,chicks,emperor,17358.0
Cape Washington,WASH,2007,chicks,emperor,16120.0
Cape Washington,WASH,2008,chicks,emperor,23275.0
Cape Washington,WASH,2009,chicks,emperor,20309.5
Cape Washington,WASH,2010,chicks,emperor,17344.0
Cape Washington,WASH,2011,chicks,emperor,20422.0
Cape Washington,WASH,2012,chicks,emperor,12782.0
Cape Washington,WASH,2013,chicks,emperor,14531.0
Cape Washington,WASH,2014,chicks,emperor,16280.0
Cape Washington,WASH,2015,chicks,emperor,24997.0
Cape Washington,WASH,2016,chicks,emperor,19402.0
Cape Washington,WASH,2017,chicks,emperor,12472.0
Cape Washington,WASH,2018,chicks,emperor,16874.0
Cape Washington,WASH,2019,chicks,emperor,16677.0
