site_name,site_id,year,count_type,name_id,penguin_count
Brown Station,ALMI,2006,nests,gentoo,119.5
Brown Station,ALMI,2007,nests,gentoo,138.625
Brown Station,ALMI,2008,nests,gentoo,157.75
Brown Station,ALMI,2009,nests,gentoo,152.5
Brown Station,ALMI,2010,nests,gentoo,170.75
Brown Station,ALMI,2011,nests,gentoo,189.0
Brown Station,ALMI,2012,nests,gentoo,160.0
Brown Station,ALMI,2013,nests,gentoo,178.2
Brown Station,ALMI,2014,nests,gentoo,160.4
Brown Station,ALMI,2015,nests,gentoo,204.0
Brown Station,ALMI,2016,nests,gentoo,176.25
Brown Station,ALMI,2017,nests,gentoo,176.29166666666669
Brown Station,ALMI,2018,nests,gentoo,176.33333333333334
Brown Station,ALMI,2019,nests,gentoo,165.0
Brown Station,ALMI,2020,nests,gentoo,185.0
Brown Station,ALMI,2021,nests,gentoo,209.0
Brown Station,ALMI,2022,nests,gentoo,52.0
Brown Station,ALMI,2023,nests,gentoo,165.0
