site_name,site_id,year,count_type,name_id,penguin_count
Ardley Island,ARDL,2010,nests,gentoo,5603.0
Ardley Island,ARDL,2011,nests,gentoo,5761.0
Ardley Island,ARDL,2012,nests,gentoo,6417.0
Ardley Island,ARDL,2013,nests,gentoo,6188.0
Ardley Island,ARDL,2014,nests,gentoo,6464.0
Ardley Island,ARDL,2015,nests,gentoo,5726.0
Ardley Island,ARDL,2016,nests,gentoo,7227.0
Ardley Island,ARDL,2017,nests,gentoo,6242.0
Ardley Island,ARDL,2018,nests,gentoo,6428.0
Ardley Island,ARDL,2019,nests,gentoo,6782.5
Ardley Island,ARDL,2020,nests,gentoo,6951.75
Ardley Island,ARDL,2021,nests,gentoo,7121.0
