site_name,site_id,year,count_type,name_id,penguin_count
Barton Peninsula,BART,2006,nests,gentoo,1719.0
Barton Peninsula,BART,2007,nests,gentoo,1684.0
Barton Peninsula,BART,2008,nests,gentoo,1573.0
Barton Peninsula,BART,2009,nests,gentoo,2289.0
Barton Peninsula,BART,2010,nests,gentoo,2351.0
Barton Peninsula,BART,2011,nests,gentoo,2212.0
Barton Peninsula,BART,2012,nests,gentoo,2496.0
Barton Peninsula,BART,2013,nests,gentoo,2378.0
Barton Peninsula,BART,2014,nests,gentoo,2176.0
Barton Peninsula,BART,2015,nests,gentoo,2112.0
Barton Peninsula,BART,2016,nests,gentoo,2604.0
Barton Peninsula,BART,2017,nests,gentoo,2309.0
Barton Peninsula,BART,2018,nests,gentoo,2224.0
Barton Peninsula,BART,2019,nests,gentoo,2408.0
