site_name,site_id,year,count_type,name_id,penguin_count
Biscoe Point,BISC,1994,nests,gentoo,14.0
Biscoe Point,BISC,1995,nests,gentoo,33.0
Biscoe Point,BISC,1996,nests,gentoo,45.0
Biscoe Point,BISC,1997,nests,gentoo,56.0
Biscoe Point,BISC,1998,nests,gentoo,26.0
Biscoe Point,BISC,1999,nests,gentoo,149.0
Biscoe Point,BISC,2000,nests,gentoo,296.0
Biscoe Point,BISC,2001,nests,gentoo,288.0
Biscoe Point,BISC,2002,nests,gentoo,639.0
Biscoe Point,BISC,2003,nests,gentoo,644.0
Biscoe Point,BISC,2004,nests,gentoo,753.0
Biscoe Point,BISC,2005,nests,gentoo,902.0
Biscoe Point,BISC,2006,nests,gentoo,977.0
