site_name,site_id,year,count_type,name_id,penguin_count
Brown Bluff,BROW,1999,nests,gentoo,592.0
Brown Bluff,BROW,2000,nests,gentoo,756.0
Brown Bluff,BROW,2001,nests,gentoo,450.0
Brown Bluff,BROW,2002,nests,gentoo,397.5
Brown Bluff,BROW,2003,nests,gentoo,345.0
Brown Bluff,BROW,2004,nests,gentoo,329.3333333333333
Brown Bluff,BROW,2005,nests,gentoo,308.0
Brown Bluff,BROW,2006,nests,gentoo,253.5
Brown Bluff,BROW,2007,nests,gentoo,380.95
Brown Bluff,BROW,2008,nests,gentoo,508.4
Brown Bluff,BROW,2009,nests,gentoo,407.0
Brown Bluff,BROW,2010,nests,gentoo,269.0
Brown Bluff,BROW,2011,nests,gentoo,433.5
Brown Bluff,BROW,2012,nests,gentoo,598.0
Brown Bluff,BROW,2013,nests,gentoo,230.0
Brown Bluff,BROW,2014,nests,gentoo,250.0
Brown Bluff,BROW,2015,nests,gentoo,535.0
Brown Bluff,BROW,2016,nests,gentoo,597.0
Brown Bluff,BROW,2017,nests,gentoo,695.0
Brown Bluff,BROW,2018,nests,gentoo,793.0
Brown Bluff,BROW,2019,nests,gentoo,894.0
