site_name,site_id,year,count_type,name_id,penguin_count
Bryde Island South,BRYS,2006,nests,gentoo,818.0
Bryde Island South,BRYS,2007,nests,gentoo,898.5
Bryde Island South,BRYS,2008,nests,gentoo,979.0
Bryde Island South,BRYS,2009,nests,gentoo,768.5
Bryde Island South,BRYS,2010,nests,gentoo,819.5
Bryde Island South,BRYS,2011,nests,gentoo,745.0
Bryde Island South,BRYS,2012,nests,gentoo,755.5
Bryde Island South,BRYS,2013,nests,gentoo,851.0
Bryde Island South,BRYS,2014,nests,gentoo,754.5
Bryde Island South,BRYS,2015,nests,gentoo,749.9166666666667
Bryde Island South,BRYS,2016,nests,gentoo,745.3333333333334
Bryde Island South,BRYS,2017,nests,gentoo,695.1666666666667
Bryde Island South,BRYS,2018,nests,gentoo,645.0
Bryde Island South,BRYS,2019,nests,gentoo,674.5
Bryde Island South,BRYS,2020,nests,gentoo,675.75
Bryde Island South,BRYS,2021,nests,gentoo,677.0
Bryde Island South,BRYS,2022,nests,gentoo,272.0
Bryde Island South,BRYS,2023,nests,gentoo,612.0
Bryde Island South,BRYS,2024,nests,gentoo,842.0
