site_name,site_id,year,count_type,name_id,penguin_count
Cuverville Island,CUVE,2003,nests,gentoo,5990.0
Cuverville Island,CUVE,2004,nests,gentoo,6142.0
Cuverville Island,CUVE,2005,nests,gentoo,6294.0
Cuverville Island,CUVE,2006,nests,gentoo,5357.0
Cuverville Island,CUVE,2007,nests,gentoo,4420.0
Cuverville Island,CUVE,2008,nests,gentoo,6878.0
Cuverville Island,CUVE,2009,nests,gentoo,6468.0
Cuverville Island,CUVE,2010,nests,gentoo,990.0
Cuverville Island,CUVE,2011,nests,gentoo,5253.0
Cuverville Island,CUVE,2012,nests,gentoo,5950.0
Cuverville Island,CUVE,2013,nests,gentoo,7007.0
Cuverville Island,CUVE,2014,nests,gentoo,9176.0
Cuverville Island,CUVE,2015,nests,gentoo,9648.0
Cuverville Island,CUVE,2016,nests,gentoo,7845.0
Cuverville Island,CUVE,2017,nests,gentoo,7056.5
Cuverville Island,CUVE,2018,nests,gentoo,6268.0
Cuverville Island,CUVE,2019,nests,gentoo,7849.0
