site_name,site_id,year,count_type,name_id,penguin_count
Dorian Bay/Damoy Point,DAMO,2005,nests,gentoo,2147.5
Dorian Bay/Damoy Point,DAMO,2006,nests,gentoo,2101.25
Dorian Bay/Damoy Point,DAMO,2007,nests,gentoo,2055.0
Dorian Bay/Damoy Point,DAMO,2008,nests,gentoo,2046.0
Dorian Bay/Damoy Point,DAMO,2009,nests,gentoo,1928.0
Dorian Bay/Damoy Point,DAMO,2010,nests,gentoo,1338.0
Dorian Bay/Damoy Point,DAMO,2011,nests,gentoo,1957.0
Dorian Bay/Damoy Point,DAMO,2012,nests,gentoo,2240.0
Dorian Bay/Damoy Point,DAMO,2013,nests,gentoo,2327.0
Dorian Bay/Damoy Point,DAMO,2014,nests,gentoo,2257.0
Dorian Bay/Damoy Point,DAMO,2015,nests,gentoo,2354.0
Dorian Bay/Damoy Point,DAMO,2016,nests,gentoo,2144.0
Dorian Bay/Damoy Point,DAMO,2017,nests,gentoo,1835.0
Dorian Bay/Damoy Point,DAMO,2018,nests,gentoo,2009.0
Dorian Bay/Damoy Point,DAMO,2019,nests,gentoo,1598.5
