site_name,site_id,year,count_type,name_id,penguin_count
Danco Island,DANC,2006,nests,gentoo,2506.0
Danco Island,DANC,2007,nests,gentoo,2084.0
Danco Island,DANC,2008,nests,gentoo,1897.0
Danco Island,DANC,2009,nests,gentoo,3632.0
Danco Island,DANC,2010,nests,gentoo,2675.6666666666665
Danco Island,DANC,2011,nests,gentoo,1719.3333333333333
Danco Island,DANC,2012,nests,gentoo,2611.5
Danco Island,DANC,2013,nests,gentoo,2543.0
Danco Island,DANC,2014,nests,gentoo,2964.6666666666665
Danco Island,DANC,2015,nests,gentoo,3294.6666666666665
Danco Island,DANC,2016,nests,gentoo,2680.0
Danco Island,DANC,2017,nests,gentoo,2568.3333333333335
Danco Island,DANC,2018,nests,gentoo,2097.5
