site_name,site_id,year,count_type,name_id,penguin_count
Dorian Beacon,DOBE,2005,nests,gentoo,156.5
Dorian Beacon,DOBE,2006,nests,gentoo,160.75
Dorian Beacon,DOBE,2007,nests,gentoo,165.0
Dorian Beacon,DOBE,2008,nests,gentoo,171.5
Dorian Beacon,DOBE,2009,nests,gentoo,183.0
Dorian Beacon,DOBE,2010,nests,gentoo,143.33333333333334
Dorian Beacon,DOBE,2011,nests,gentoo,155.16666666666669
Dorian Beacon,DOBE,2012,nests,gentoo,167.0
Dorian Beacon,DOBE,2013,nests,gentoo,193.0
Dorian Beacon,DOBE,2014,nests,gentoo,183.0
Dorian Beacon,DOBE,2015,nests,gentoo,12.0
Dorian Beacon,DOBE,2016,nests,gentoo,192.66666666666666
Dorian Beacon,DOBE,2017,nests,gentoo,184.33333333333331
Dorian Beacon,DOBE,2018,nests,gentoo,176.0
Dorian Beacon,DOBE,2019,nests,gentoo,165.25
