site_name,site_id,year,count_type,name_id,penguin_count
Georges Point (Ronge Island),GEOR,2008,nests,gentoo,1698.0
Georges Point (Ronge Island),GEOR,2009,nests,gentoo,1973.0
Georges Point (Ronge Island),GEOR,2010,nests,gentoo,1856.5
Georges Point (Ronge Island),GEOR,2011,nests,gentoo,2408.0
Georges Point (Ronge Island),GEOR,2012,nests,gentoo,2715.333333333333
Georges Point (Ronge Island),GEOR,2013,nests,gentoo,3022.6666666666665
Georges Point (Ronge Island),GEOR,2014,nests,gentoo,3187.0
Georges Point (Ronge Island),GEOR,2015,nests,gentoo,3443.0
Georges Point (Ronge Island),GEOR,2016,nests,gentoo,3651.5
Georges Point (Ronge Island),GEOR,2017,nests,gentoo,3187.0
Georges Point (Ronge Island),GEOR,2018,nests,gentoo,2777.0
Georges Point (Ronge Island),GEOR,2019,nests,gentoo,2367.0
