site_name,site_id,year,count_type,name_id,penguin_count
Jougla Point,JOUG,1996,nests,gentoo,1595.0
Jougla Point,JOUG,1997,nests,gentoo,1475.0
Jougla Point,JOUG,1998,nests,gentoo,1437.0
Jougla Point,JOUG,1999,nests,gentoo,1591.0
Jougla Point,JOUG,2000,nests,gentoo,1488.25
Jougla Point,JOUG,2001,nests,gentoo,1385.5
Jougla Point,JOUG,2002,nests,gentoo,1556.0
Jougla Point,JOUG,2003,nests,gentoo,1473.0
Jougla Point,JOUG,2004,nests,gentoo,1423.0
Jougla Point,JOUG,2005,nests,gentoo,1409.0
Jougla Point,JOUG,2006,nests,gentoo,1282.0
Jougla Point,JOUG,2007,nests,gentoo,1276.0
Jougla Point,JOUG,2008,nests,gentoo,1332.0
Jougla Point,JOUG,2009,nests,gentoo,1422.0
Jougla Point,JOUG,2010,nests,gentoo,1019.0
Jougla Point,JOUG,2011,nests,gentoo,1090.6
Jougla Point,JOUG,2012,nests,gentoo,1178.0
Jougla Point,JOUG,2013,nests,gentoo,1264.5
Jougla Point,JOUG,2014,nests,gentoo,1286.5
Jougla Point,JOUG,2015,nests,gentoo,1116.0
Jougla Point,JOUG,2016,nests,gentoo,1081.5
Jougla Point,JOUG,2017,nests,gentoo,1037.5
Jougla Point,JOUG,2018,nests,gentoo,1003.0
Jougla Point,JOUG,2019,nests,gentoo,1002.0
Jougla Point,JOUG,2020,nests,gentoo,962.0
Jougla Point,JOUG,2021,nests,gentoo,1537.0
Jougla Point,JOUG,2022,nests,gentoo,1358.5
Jougla Point,JOUG,2023,nests,gentoo,1243.0
