site_name,site_id,year,count_type,name_id,penguin_count
Llano Point,LLAN,1978,nests,gentoo,2562.0
Llano Point,LLAN,1979,nests,gentoo,3008.0
Llano Point,LLAN,1980,nests,gentoo,1510.0
Llano Point,LLAN,1981,nests,gentoo,1770.0
Llano Point,LLAN,1982,nests,gentoo,1536.0
Llano Point,LLAN,1983,nests,gentoo,1825.5
Llano Point,LLAN,1984,nests,gentoo,2115.0
Llano Point,LLAN,1985,nests,gentoo,2466.0
Llano Point,LLAN,1986,nests,gentoo,2400.0
Llano Point,LLAN,1987,nests,gentoo,2450.0
Llano Point,LLAN,1988,nests,gentoo,2179.0
Llano Point,LLAN,1989,nests,gentoo,2189.0
Llano Point,LLAN,1990,nests,gentoo,2156.0
Llano Point,LLAN,1991,nests,gentoo,2637.0
Llano Point,LLAN,1992,nests,gentoo,2197.0
Llano Point,LLAN,1993,nests,gentoo,2191.0
Llano Point,LLAN,1994,nests,gentoo,1905.5
Llano Point,LLAN,1995,nests,gentoo,1382.0
Llano Point,LLAN,1996,nests,gentoo,1406.0
Llano Point,LLAN,1997,nests,gentoo,1498.0
Llano Point,LLAN,1998,nests,gentoo,1450.0
Llano Point,LLAN,1999,nests,gentoo,1677.0
Llano Point,LLAN,2000,nests,gentoo,2014.0
Llano Point,LLAN,2001,nests,gentoo,1921.0
Llano Point,LLAN,2002,nests,gentoo,2311.0
Llano Point,LLAN,2003,nests,gentoo,2285.0
Llano Point,LLAN,2004,nests,gentoo,2606.0
Llano Point,LLAN,2005,nests,gentoo,2616.0
Llano Point,LLAN,2006,nests,gentoo,3024.0
Llano Point,LLAN,2007,nests,gentoo,2907.0
Llano Point,LLAN,2008,nests,gentoo,4117.0
Llano Point,LLAN,2009,nests,gentoo,3485.0
Llano Point,LLAN,2010,nests,gentoo,4814.5
Llano Point,LLAN,2011,nests,gentoo,4886.0
Llano Point,LLAN,2012,nests,gentoo,5396.0
Llano Point,LLAN,2013,nests,gentoo,6123.0
Llano Point,LLAN,2014,nests,gentoo,5319.0
