site_name,site_id,year,count_type,name_id,penguin_count
Port Lockroy,LOCK,1996,nests,gentoo,726.0
Port Lockroy,LOCK,1997,nests,gentoo,719.75
Port Lockroy,LOCK,1998,nests,gentoo,713.5
Port Lockroy,LOCK,1999,nests,gentoo,779.0
Port Lockroy,LOCK,2000,nests,gentoo,908.0
Port Lockroy,LOCK,2001,nests,gentoo,752.75
Port Lockroy,LOCK,2002,nests,gentoo,597.5
Port Lockroy,LOCK,2003,nests,gentoo,722.0
Port Lockroy,LOCK,2004,nests,gentoo,645.0
Port Lockroy,LOCK,2005,nests,gentoo,681.0
Port Lockroy,LOCK,2006,nests,gentoo,557.0
Port Lockroy,LOCK,2007,nests,gentoo,617.0
Port Lockroy,LOCK,2008,nests,gentoo,616.0
Port Lockroy,LOCK,2009,nests,gentoo,662.0
Port Lockroy,LOCK,2010,nests,gentoo,601.5
Port Lockroy,LOCK,2011,nests,gentoo,544.0
Port Lockroy,LOCK,2012,nests,gentoo,536.0
Port Lockroy,LOCK,2013,nests,gentoo,532.0
Port Lockroy,LOCK,2014,nests,gentoo,496.5
Port Lockroy,LOCK,2015,nests,gentoo,521.0
Port Lockroy,LOCK,2016,nests,gentoo,548.0
Port Lockroy,LOCK,2017,nests,gentoo,528.0
Port Lockroy,LOCK,2018,nests,gentoo,508.0
Port Lockroy,LOCK,2019,nests,gentoo,535.0
Port Lockroy,LOCK,2020,nests,gentoo,600.5
Port Lockroy,LOCK,2021,nests,gentoo,666.0
Port Lockroy,LOCK,2022,nests,gentoo,753.5
