site_name,site_id,year,count_type,name_id,penguin_count
Moot Point,MOOT,2005,nests,gentoo,74.0
Moot Point,MOOT,2006,nests,gentoo,103.5
Moot Point,MOOT,2007,nests,gentoo,163.75
Moot Point,MOOT,2008,nests,gentoo,224.0
Moot Point,MOOT,2009,nests,gentoo,323.0
Moot Point,MOOT,2010,nests,gentoo,347.0
Moot Point,MOOT,2011,nests,gentoo,371.0
Moot Point,MOOT,2012,nests,gentoo,425.0
Moot Point,MOOT,2013,nests,gentoo,479.0
Moot Point,MOOT,2014,nests,gentoo,463.0
Moot Point,MOOT,2015,nests,gentoo,558.0
