site_name,site_id,year,count_type,name_id,penguin_count
Neko Harbor (Andvord Bay),NEKO,2002,nests,gentoo,1072.0
Neko Harbor (Andvord Bay),NEKO,2003,nests,gentoo,1065.0
Neko Harbor (Andvord Bay),NEKO,2004,nests,gentoo,1052.5
Neko Harbor (Andvord Bay),NEKO,2005,nests,gentoo,1090.3333333333333
Neko Harbor (Andvord Bay),NEKO,2006,nests,gentoo,1153.0
Neko Harbor (Andvord Bay),NEKO,2007,nests,gentoo,1043.0
Neko Harbor (Andvord Bay),NEKO,2008,nests,gentoo,1147.0
Neko Harbor (Andvord Bay),NEKO,2009,nests,gentoo,1270.0
Neko Harbor (Andvord Bay),NEKO,2010,nests,gentoo,1066.0
Neko Harbor (Andvord Bay),NEKO,2011,nests,gentoo,1206.0
Neko Harbor (Andvord Bay),NEKO,2012,nests,gentoo,1291.0
Neko Harbor (Andvord Bay),NEKO,2013,nests,gentoo,1196.0
Neko Harbor (Andvord Bay),NEKO,2014,nests,gentoo,988.75
Neko Harbor (Andvord Bay),NEKO,2015,nests,gentoo,1416.2
Neko Harbor (Andvord Bay),NEKO,2016,nests,gentoo,1145.0
Neko Harbor (Andvord Bay),NEKO,2017,nests,gentoo,1174.0
Neko Harbor (Andvord Bay),NEKO,2018,nests,gentoo,944.5
Neko Harbor (Andvord Bay),NEKO,2019,nests,gentoo,965.25
Neko Harbor (Andvord Bay),NEKO,2020,nests,gentoo,853.0
Neko Harbor (Andvord Bay),NEKO,2021,nests,gentoo,728.0
Neko Harbor (Andvord Bay),NEKO,2022,nests,gentoo,603.0
Neko Harbor (Andvord Bay),NEKO,2023,nests,gentoo,925.0
Neko Harbor (Andvord Bay),NEKO,2024,nests,gentoo,830.0
