site_name,site_id,year,count_type,name_id,penguin_count
Orne Islands,ORNE,2005,nests,gentoo,41.0
Orne Islands,ORNE,2006,nests,gentoo,49.5
Orne Islands,ORNE,2007,nests,gentoo,58.0
Orne Islands,ORNE,2008,nests,gentoo,58.0
Orne Islands,ORNE,2009,nests,gentoo,80.5
Orne Islands,ORNE,2010,nests,gentoo,103.0
Orne Islands,ORNE,2011,nests,gentoo,122.0
Orne Islands,ORNE,2012,nests,gentoo,141.0
Orne Islands,ORNE,2013,nests,gentoo,155.0
Orne Islands,ORNE,2014,nests,gentoo,164.0
Orne Islands,ORNE,2015,nests,gentoo,285.0
Orne Islands,ORNE,2016,nests,gentoo,483.0
