site_name,site_id,year,count_type,name_id,penguin_count
Port Charcot,PCHA,2006,nests,gentoo,1151.0
Port Charcot,PCHA,2007,nests,gentoo,1233.0
Port Charcot,PCHA,2008,nests,gentoo,917.0
Port Charcot,PCHA,2009,nests,gentoo,1251.25
Port Charcot,PCHA,2010,nests,gentoo,682.5
Port Charcot,PCHA,2011,nests,gentoo,1058.3333333333333
Port Charcot,PCHA,2012,nests,gentoo,1242.9166666666665
Port Charcot,PCHA,2013,nests,gentoo,1427.5
Port Charcot,PCHA,2014,nests,gentoo,1569.0
Port Charcot,PCHA,2015,nests,gentoo,1577.0
Port Charcot,PCHA,2016,nests,gentoo,1585.0
Port Charcot,PCHA,2017,nests,gentoo,1534.5
Port Charcot,PCHA,2018,nests,gentoo,1484.0
Port Charcot,PCHA,2019,nests,gentoo,1556.0
