site_name,site_id,year,count_type,name_id,penguin_count
Pleneau Island,PLEN,2003,nests,gentoo,1904.5
Pleneau Island,PLEN,2004,nests,gentoo,2164.0
Pleneau Island,PLEN,2005,nests,gentoo,2135.0
Pleneau Island,PLEN,2006,nests,gentoo,1854.5
Pleneau Island,PLEN,2007,nests,gentoo,1574.0
Pleneau Island,PLEN,2008,nests,gentoo,2122.5
Pleneau Island,PLEN,2009,nests,gentoo,2235.0
Pleneau Island,PLEN,2010,nests,gentoo,1719.3333333333333
Pleneau Island,PLEN,2011,nests,gentoo,2257.1666666666665
Pleneau Island,PLEN,2012,nests,gentoo,2795.0
Pleneau Island,PLEN,2013,nests,gentoo,3246.0
Pleneau Island,PLEN,2014,nests,gentoo,2765.5
Pleneau Island,PLEN,2015,nests,gentoo,2851.5
Pleneau Island,PLEN,2016,nests,gentoo,2663.0
Pleneau Island,PLEN,2017,nests,gentoo,2845.0
Pleneau Island,PLEN,2018,nests,gentoo,3027.0
