site_name,site_id,year,count_type,name_id,penguin_count
Selvick Cove,SELV,2007,nests,gentoo,362.0
Selvick Cove,SELV,2008,nests,gentoo,352.75
Selvick Cove,SELV,2009,nests,gentoo,343.5
Selvick Cove,SELV,2010,nests,gentoo,379.75
Selvick Cove,SELV,2011,nests,gentoo,416.0
Selvick Cove,SELV,2012,nests,gentoo,258.0
Selvick Cove,SELV,2013,nests,gentoo,472.0
Selvick Cove,SELV,2014,nests,gentoo,502.0
Selvick Cove,SELV,2015,nests,gentoo,697.5
Selvick Cove,SELV,2016,nests,gentoo,609.0
Selvick Cove,SELV,2017,nests,gentoo,595.0
Selvick Cove,SELV,2018,nests,gentoo,386.5
Selvick Cove,SELV,2019,nests,gentoo,506.0
