site_name,site_id,year,count_type,name_id,penguin_count
Cape Shirreff,SHIR,1997,chicks,gentoo,825.0
Cape Shirreff,SHIR,1998,chicks,gentoo,910.0
Cape Shirreff,SHIR,1999,chicks,gentoo,1013.0
Cape Shirreff,SHIR,2000,chicks,gentoo,1159.0
Cape Shirreff,SHIR,2001,chicks,gentoo,1298.0
Cape Shirreff,SHIR,2002,chicks,gentoo,1061.0
Cape Shirreff,SHIR,2003,chicks,gentoo,696.0
Cape Shirreff,SHIR,2004,chicks,gentoo,916.0
Cape Shirreff,SHIR,2005,chicks,gentoo,933.0
Cape Shirreff,SHIR,2006,chicks,gentoo,1158.0
Cape Shirreff,SHIR,2007,chicks,gentoo,956.0
Cape Shirreff,SHIR,2008,chicks,gentoo,544.0
Cape Shirreff,SHIR,2009,chicks,gentoo,1010.0
Cape Shirreff,SHIR,2010,chicks,gentoo,916.0
Cape Shirreff,SHIR,2011,chicks,gentoo,906.0
