site_name,site_id,year,count_type,name_id,penguin_count
Cape Bird North,BRDN,1982,nests,adelie,22727.0
Cape Bird North,BRDN,1983,nests,adelie,29544.0
Cape Bird North,BRDN,1984,nests,adelie,26722.0
Cape Bird North,BRDN,1985,nests,adelie,36599.0
Cape Bird North,BRDN,1986,nests,adelie,40149.0
Cape Bird North,BRDN,1987,nests,adelie,39730.0
Cape Bird North,BRDN,1988,nests,adelie,33247.0
Cape Bird North,BRDN,1989,nests,adelie,27505.0
Cape Bird North,BRDN,1990,nests,adelie,22908.0
Cape Bird North,BRDN,1991,nests,adelie,24906.0
Cape Bird North,BRDN,1992,nests,adelie,28905.0
Cape Bird North,BRDN,1993,nests,adelie,14928.0
Cape Bird North,BRDN,1994,nests,adelie,21914.0
Cape Bird North,BRDN,1995,nests,adelie,24565.0
Cape Bird North,BRDN,1996,nests,adelie,23305.0
Cape Bird North,BRDN,1997,nests,adelie,32697.0
Cape Bird North,BRDN,1998,nests,adelie,25440.0
Cape Bird North,BRDN,1999,nests,adelie,32353.0
Cape Bird North,BRDN,2000,nests,adelie,24843.5
Cape Bird North,BRDN,2001,nests,adelie,17334.0
Cape Bird North,BRDN,2002,nests,adelie,30685.0
Cape Bird North,BRDN,2003,nests,adelie,15246.0
Cape Bird North,BRDN,2004,nests,adelie,26426.0
Cape Bird North,BRDN,2005,nests,adelie,39979.0
Cape Bird North,BRDN,2006,nests,adelie,35077.0
Cape Bird North,BRDN,2007,nests,adelie,34636.0
Cape Bird North,BRDN,2008,nests,adelie,31155.0
Cape Bird North,BRDN,2009,nests,adelie,46073.0
Cape Bird North,BRDN,2010,nests,adelie,48222.0
Cape Bird North,BRDN,2011,nests,adelie,42860.0
Cape Bird North,BRDN,2012,nests,adelie,50701.0
Cape Bird North,BRDN,2013,nests,adelie,45572.0
Cape Bird North,BRDN,2014,nests,adelie,52896.0
Cape Bird North,BRDN,2015,nests,adelie,53546.0
Cape Bird North,BRDN,2016,nests,adelie,41453.0
Cape Bird North,BRDN,2017,nests,adelie,44337.0
Cape Bird North,BRDN,2018,nests,adelie,44106.0
