site_name,site_id,year,count_type,name_id,penguin_count
Cape Bird South,BRDS,1983,nests,adelie,11636.5
Cape Bird South,BRDS,1984,nests,adelie,10616.0
Cape Bird South,BRDS,1985,nests,adelie,14220.0
Cape Bird South,BRDS,1986,nests,adelie,15844.0
Cape Bird South,BRDS,1987,nests,adelie,15605.0
Cape Bird South,BRDS,1988,nests,adelie,12765.0
Cape Bird South,BRDS,1989,nests,adelie,12079.0
Cape Bird South,BRDS,1990,nests,adelie,8944.0
Cape Bird South,BRDS,1991,nests,adelie,9499.0
Cape Bird South,BRDS,1992,nests,adelie,11693.0
Cape Bird South,BRDS,1993,nests,adelie,6658.0
Cape Bird South,BRDS,1994,nests,adelie,9292.0
Cape Bird South,BRDS,1995,nests,adelie,9663.0
Cape Bird South,BRDS,1996,nests,adelie,7682.0
Cape Bird South,BRDS,1997,nests,adelie,11599.0
Cape Bird South,BRDS,1998,nests,adelie,10180.0
Cape Bird South,BRDS,1999,nests,adelie,11664.0
Cape Bird South,BRDS,2000,nests,adelie,9914.0
Cape Bird South,BRDS,2001,nests,adelie,7149.0
Cape Bird South,BRDS,2002,nests,adelie,7636.0
Cape Bird South,BRDS,2003,nests,adelie,5684.0
Cape Bird South,BRDS,2004,nests,adelie,7673.0
Cape Bird South,BRDS,2005,nests,adelie,13765.0
Cape Bird South,BRDS,2006,nests,adelie,11988.0
Cape Bird South,BRDS,2007,nests,adelie,12516.0
Cape Bird South,BRDS,2008,nests,adelie,8130.0
Cape Bird South,BRDS,2009,nests,adelie,16716.0
Cape Bird South,BRDS,2010,nests,adelie,15785.0
Cape Bird South,BRDS,2011,nests,adelie,14481.0
Cape Bird South,BRDS,2012,nests,adelie,20083.0
Cape Bird South,BRDS,2013,nests,adelie,16764.0
Cape Bird South,BRDS,2014,nests,adelie,19288.0
Cape Bird South,BRDS,2015,nests,adelie,17991.0
Cape Bird South,BRDS,2016,nests,adelie,13517.0
Cape Bird South,BRDS,2017,nests,adelie,15450.0
Cape Bird South,BRDS,2018,nests,adelie,16764.0
