site_name,site_id,year,count_type,name_id,penguin_count
Cape Crozier (east),CRZE,1985,nests,adelie,27378.0
Cape Crozier (east),CRZE,1986,nests,adelie,28357.0
Cape Crozier (east),CRZE,1987,nests,adelie,36168.0
Cape Crozier (east),CRZE,1988,nests,adelie,18495.0
Cape Crozier (east),CRZE,1989,nests,adelie,19966.0
Cape Crozier (east),CRZE,1990,nests,adelie,16124.0
Cape Crozier (east),CRZE,1991,nests,adelie,17680.0
Cape Crozier (east),CRZE,1992,nests,adelie,19729.0
Cape Crozier (east),CRZE,1993,nests,adelie,19912.0
Cape Crozier (east),CRZE,1994,nests,adelie,15880.0
Cape Crozier (east),CRZE,1995,nests,adelie,17341.0
Cape Crozier (east),CRZE,1996,nests,adelie,18143.0
Cape Crozier (east),CRZE,1997,nests,adelie,20415.0
Cape Crozier (east),CRZE,1998,nests,adelie,17769.0
Cape Crozier (east),CRZE,1999,nests,adelie,17055.0
Cape Crozier (east),CRZE,2000,nests,adelie,12416.0
Cape Crozier (east),CRZE,2001,nests,adelie,7944.0
Cape Crozier (east),CRZE,2002,nests,adelie,13855.0
Cape Crozier (east),CRZE,2003,nests,adelie,9497.0
Cape Crozier (east),CRZE,2004,nests,adelie,24775.0
Cape Crozier (east),CRZE,2005,nests,adelie,24203.0
Cape Crozier (east),CRZE,2006,nests,adelie,21374.0
Cape Crozier (east),CRZE,2007,nests,adelie,21648.0
Cape Crozier (east),CRZE,2008,nests,adelie,21204.0
Cape Crozier (east),CRZE,2009,nests,adelie,32062.0
Cape Crozier (east),CRZE,2010,nests,adelie,33220.0
Cape Crozier (east),CRZE,2011,nests,adelie,27786.0
Cape Crozier (east),CRZE,2012,nests,adelie,30147.0
Cape Crozier (east),CRZE,2013,nests,adelie,29800.0
Cape Crozier (east),CRZE,2014,nests,adelie,30411.0
Cape Crozier (east),CRZE,2015,nests,adelie,31848.0
Cape Crozier (east),CRZE,2016,nests,adelie,29331.0
Cape Crozier (east),CRZE,2017,nests,adelie,28705.0
Cape Crozier (east),CRZE,2018,nests,adelie,30178.0
