site_name,site_id,year,count_type,name_id,penguin_count
Hukuro Cove,HUKU,1981,adults,adelie,277.0
Hukuro Cove,HUKU,1982,adults,adelie,480.0
Hukuro Cove,HUKU,1983,adults,adelie,490.0
Hukuro Cove,HUKU,1984,adults,adelie,500.0
Hukuro Cove,HUKU,1985,adults,adelie,426.0
Hukuro Cove,HUKU,1986,adults,adelie,520.0
Hukuro Cove,HUKU,1987,adults,adelie,635.0
Hukuro Cove,HUKU,1988,adults,adelie,750.0
Hukuro Cove,HUKU,1989,adults,adelie,439.0
Hukuro Cove,HUKU,1990,adults,adelie,479.0
Hukuro Cove,HUKU,1991,adults,adelie,352.0
Hukuro Cove,HUKU,1992,adults,adelie,371.0
Hukuro Cove,HUKU,1993,adults,adelie,390.0
Hukuro Cove,HUKU,1994,adults,adelie,309.0
Hukuro Cove,HUKU,1995,adults,adelie,388.0
Hukuro Cove,HUKU,1996,adults,adelie,350.0
Hukuro Cove,HUKU,1997,adults,adelie,366.0
Hukuro Cove,HUKU,1998,adults,adelie,371.0
Hukuro Cove,HUKU,1999,adults,adelie,382.0
Hukuro Cove,HUKU,2000,adults,adelie,387.0
Hukuro Cove,HUKU,2001,adults,adelie,367.0
Hukuro Cove,HUKU,2002,adults,adelie,392.0
Hukuro Cove,HUKU,2003,adults,adelie,362.0
Hukuro Cove,HUKU,2004,adults,adelie,400.0
