site_name,site_id,year,count_type,name_id,penguin_count
Litchfield Island,LITC,1983,nests,adelie,558.5
Litchfield Island,LITC,1984,nests,adelie,549.0
Litchfield Island,LITC,1985,nests,adelie,586.0
Litchfield Island,LITC,1986,nests,adelie,577.0
Litchfield Island,LITC,1987,nests,adelie,430.0
Litchfield Island,LITC,1988,nests,adelie,518.0
Litchfield Island,LITC,1989,nests,adelie,606.0
Litchfield Island,LITC,1990,nests,adelie,448.0
Litchfield Island,LITC,1991,nests,adelie,497.0
Litchfield Island,LITC,1992,nests,adelie,496.0
Litchfield Island,LITC,1993,nests,adelie,485.0
Litchfield Island,LITC,1994,nests,adelie,425.0
Litchfield Island,LITC,1995,nests,adelie,410.0
Litchfield Island,LITC,1996,nests,adelie,346.0
Litchfield Island,LITC,1997,nests,adelie,365.0
Litchfield Island,LITC,1998,nests,adelie,338.0
Litchfield Island,LITC,1999,nests,adelie,322.0
Litchfield Island,LITC,2000,nests,adelie,274.0
Litchfield Island,LITC,2001,nests,adelie,166.0
Litchfield Island,LITC,2002,nests,adelie,143.0
Litchfield Island,LITC,2003,nests,adelie,52.0
Litchfield Island,LITC,2004,nests,adelie,33.0
Litchfield Island,LITC,2005,nests,adelie,15.0
Litchfield Island,LITC,2006,nests,adelie,2.0
Litchfield Island,LITC,2007,nests,adelie,0.0
Litchfield Island,LITC,2008,nests,adelie,0.0
