site_name,site_id,year,count_type,name_id,penguin_count
Llano Point,LLAN,1977,nests,adelie,7000.0
Llano Point,LLAN,1978,nests,adelie,13521.0
Llano Point,LLAN,1979,nests,adelie,10870.5
Llano Point,LLAN,1980,nests,adelie,7095.0
Llano Point,LLAN,1981,nests,adelie,8684.0
Llano Point,LLAN,1982,nests,adelie,7502.0
Llano Point,LLAN,1983,nests,adelie,6950.0
Llano Point,LLAN,1984,nests,adelie,7871.5
Llano Point,LLAN,1985,nests,adelie,6870.0
Llano Point,LLAN,1986,nests,adelie,8201.5
Llano Point,LLAN,1987,nests,adelie,8592.0
Llano Point,LLAN,1988,nests,adelie,8459.333333333334
Llano Point,LLAN,1989,nests,adelie,6754.0
Llano Point,LLAN,1990,nests,adelie,6180.5
Llano Point,LLAN,1991,nests,adelie,6519.0
Llano Point,LLAN,1992,nests,adelie,6527.0
Llano Point,LLAN,1993,nests,adelie,6159.5
Llano Point,LLAN,1994,nests,adelie,5709.5
Llano Point,LLAN,1995,nests,adelie,6448.5
Llano Point,LLAN,1996,nests,adelie,6102.5
Llano Point,LLAN,1997,nests,adelie,5612.0
Llano Point,LLAN,1998,nests,adelie,7092.0
Llano Point,LLAN,1999,nests,adelie,5432.0
Llano Point,LLAN,2000,nests,adelie,5153.0
Llano Point,LLAN,2001,nests,adelie,4533.0
Llano Point,LLAN,2002,nests,adelie,3877.0
Llano Point,LLAN,2003,nests,adelie,3066.0
Llano Point,LLAN,2004,nests,adelie,2678.0
Llano Point,LLAN,2005,nests,adelie,2393.0
Llano Point,LLAN,2006,nests,adelie,2322.0
Llano Point,LLAN,2007,nests,adelie,2142.0
Llano Point,LLAN,2008,nests,adelie,2577.0
Llano Point,LLAN,2009,nests,adelie,2102.0
Llano Point,LLAN,2010,nests,adelie,2793.0
Llano Point,LLAN,2011,nests,adelie,2871.0
Llano Point,LLAN,2012,nests,adelie,2048.0
Llano Point,LLAN,2013,nests,adelie,3246.0
Llano Point,LLAN,2014,nests,adelie,2891.0
