site_name,site_id,year,count_type,name_id,penguin_count
Point Thomas,PTHO,1986,nests,adelie,9320.0
Point Thomas,PTHO,1987,nests,adelie,9770.0
Point Thomas,PTHO,1988,nests,adelie,10220.0
Point Thomas,PTHO,1989,nests,adelie,8045.0
Point Thomas,PTHO,1990,nests,adelie,8789.0
Point Thomas,PTHO,1991,nests,adelie,10347.0
Point Thomas,PTHO,1992,nests,adelie,10079.0
Point Thomas,PTHO,1993,nests,adelie,9905.0
Point Thomas,PTHO,1994,nests,adelie,9731.0
Point Thomas,PTHO,1995,nests,adelie,10659.0
Point Thomas,PTHO,1996,nests,adelie,9075.0
