site_name,site_id,year,count_type,name_id,penguin_count
Ardley Island,ARDL,1993,nests,chinstrap,44.0
Ardley Island,ARDL,1994,nests,chinstrap,45.0
Ardley Island,ARDL,1995,nests,chinstrap,49.0
Ardley Island,ARDL,1996,nests,chinstrap,72.0
Ardley Island,ARDL,1997,nests,chinstrap,33.0
Ardley Island,ARDL,1998,nests,chinstrap,43.0
Ardley Island,ARDL,1999,nests,chinstrap,34.0
Ardley Island,ARDL,2000,nests,chinstrap,26.0
Ardley Island,ARDL,2001,nests,chinstrap,22.0
Ardley Island,ARDL,2002,nests,chinstrap,35.0
Ardley Island,ARDL,2003,nests,chinstrap,29.0
Ardley Island,ARDL,2004,nests,chinstrap,13.0
Ardley Island,ARDL,2005,nests,chinstrap,9.0
