site_name,site_id,year,count_type,name_id,penguin_count
Half Moon Island,HALF,2007,nests,chinstrap,1732.0
Half Moon Island,HALF,2008,nests,chinstrap,1826.5
Half Moon Island,HALF,2009,nests,chinstrap,1931.25
Half Moon Island,HALF,2010,nests,chinstrap,2036.0
Half Moon Island,HALF,2011,nests,chinstrap,1916.0
Half Moon Island,HALF,2012,nests,chinstrap,2011.0
Half Moon Island,HALF,2013,nests,chinstrap,1827.0
Half Moon Island,HALF,2014,nests,chinstrap,1937.0
Half Moon Island,HALF,2015,nests,chinstrap,2003.75
Half Moon Island,HALF,2016,nests,chinstrap,1864.6666666666667
Half Moon Island,HALF,2017,nests,chinstrap,1914.0
Half Moon Island,HALF,2018,nests,chinstrap,1609.0
Half Moon Island,HALF,2019,nests,chinstrap,1304.0
